name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_100756,38,"C~1, C~2, H~1, N~1, O~1, O~2",0.0573,0.2271,0.0382,0.974
NSC_10011,24,"C~1, C~2, H~1, N~2, O~1, O~2",0.0574,0.2053,0.042,0.9718
NSC_10093,36,"C~1, C~2, H~1, O~1, O~2",0.0574,0.1631,0.0445,0.9794
NSC_10053,41,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0575,0.1495,0.0402,0.9791
NSC_101473,22,"C~1, C~2, H~1, N~1, O~1, O~2",0.0575,0.125,0.0459,0.9872
NSC_101614,20,"C~1, C~2, H~1, N~2, O~2",0.0575,0.1397,0.0469,0.9733
NSC_101323,21,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0577,0.1216,0.0495,0.9868
NSC_100147,17,"C~1, C~2, H~1, O~2, S~1",0.0578,0.1371,0.0374,0.9726
NSC_100208,26,"C~2, H~1, N~2, O~1, O~2",0.0579,0.1698,0.0441,0.969
NSC_101244,67,"C~1, C~2, H~1, O~1, O~2",0.0579,0.2837,0.0373,0.9633
NSC_100929,24,"C~1, C~2, H~1, O~1, O~2",0.058,0.1207,0.0505,0.9859
NSC_101541,28,"C~2, H~1, N~2, O~1, O~2",0.058,0.1239,0.0444,0.9654
NSC_101993,23,"C~1, C~2, H~1, N~1, O~2, S~2",0.058,0.1125,0.0487,0.9867
NSC_100922,22,"C~1, C~2, H~1, O~1, O~2",0.0581,0.1994,0.0388,0.9748
NSC_100176,23,"C~1, C~2, H~1, O~2",0.0582,0.2187,0.0402,0.9593
NSC_101159,45,"C~1, C~2, H~1, N~1, N~2, O~1, S~1",0.0582,0.1349,0.0472,0.9786
NSC_100669,22,"C~1, C~2, H~1, O~1, O~2",0.0583,0.1528,0.0428,0.9687
NSC_100765,36,"C~1, C~2, H~1, O~1, O~2",0.0583,0.1799,0.0447,0.9741
NSC_101656,17,"C~2, H~1, N~1, N~2, O~1",0.0583,0.1467,0.0495,0.982
NSC_100951,27,"C~1, C~2, H~1, O~1, O~2",0.0584,0.112,0.0478,0.9797
NSC_1010,45,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0585,0.1719,0.0445,0.9731
NSC_100202,33,"C~1, C~2, H~1, N~1, O~2",0.0586,0.2174,0.0404,0.9648
NSC_100738,21,"C~1, C~2, H~1, O~1, O~2",0.0586,0.1197,0.0487,0.9801
NSC_10014,20,"C~1, H~1, N~1, O~1, O~2, S~2",0.0587,0.1439,0.0426,0.99
NSC_10195,48,"C~1, C~2, H~1, O~1, O~2",0.0587,0.2243,0.0428,0.9756
NSC_100049,66,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0589,0.1443,0.0487,0.9838
NSC_100146,13,"C~1, C~2, H~1, N~2, O~1",0.0589,0.1903,0.0379,0.9674
NSC_1018,42,"C~1, C~2, H~1, N~1, N~2, O~1, O~2",0.0589,0.1464,0.0479,0.9664
