name, num. of atoms, atomic types, rmsd, max. deviation, av. deviation, pearson**2
NSC_187538,21,"C, H, N, O, S",0.0753,0.2249,0.05,0.9865
NSC_124420,35,"C, Cl, F, H, N, O, S",0.0753,0.2627,0.0553,0.9786
NSC_409309,28,"C, H, I, N, O, S",0.0753,0.1694,0.0569,0.9204
NSC_137838,19,"C, F, H, N, O, S",0.0753,0.2365,0.053,0.9867
NSC_113997,30,"C, H, O, S",0.0754,0.184,0.0564,0.9652
NSC_142542,48,"C, H, N, S",0.0754,0.2893,0.0527,0.936
NSC_10320,15,"C, F, H, O",0.0754,0.1616,0.0567,0.9688
NSC_100834,24,"C, F, H, N, O",0.0754,0.1901,0.0566,0.9464
NSC_83575,20,"C, H, I, O",0.0754,0.2255,0.0555,0.9434
NSC_303575,30,"C, H, N, O",0.0754,0.2151,0.053,0.9496
NSC_101466,20,"C, F, H, N, O",0.0754,0.1719,0.0528,0.9735
NSC_100146,13,"C, H, N, O",0.0755,0.2525,0.0459,0.9453
NSC_118958,31,"C, H, N, S",0.0755,0.3435,0.0471,0.927
NSC_8027,17,"C, Cl, H, O, S",0.0755,0.2159,0.0464,0.989
NSC_119941,24,"C, H, I, O",0.0755,0.162,0.0569,0.9404
NSC_36792,39,"C, H, I, O, S",0.0755,0.1897,0.0561,0.9772
NSC_140269,27,"C, Cl, H, O, S",0.0755,0.2414,0.0551,0.9792
NSC_223101,30,"C, Cl, H, N, O",0.0755,0.2545,0.0515,0.9642
NSC_101465,20,"C, F, H, N, O",0.0755,0.1696,0.0537,0.9732
NSC_106694,26,"C, H, N, O",0.0755,0.2518,0.057,0.9533
NSC_100184,34,"C, H, N, O",0.0755,0.2827,0.0472,0.9585
NSC_106149,45,"C, H, I, N, O",0.0755,0.1678,0.0553,0.9346
NSC_12549,34,"C, Cl, H, O, S",0.0755,0.1799,0.0562,0.9308
NSC_276294,18,"C, Cl, H, O, S",0.0756,0.2298,0.0545,0.9876
NSC_10263,12,"C, F, H",0.0756,0.1157,0.0599,0.9513
NSC_303574,37,"C, H, N, O",0.0756,0.2158,0.0524,0.9335
NSC_99138,36,"C, H, N, O, S",0.0756,0.2676,0.0488,0.9868
NSC_126292,27,"C, H, O, P",0.0756,0.2444,0.0452,0.9897
NSC_104964,48,"C, H, N, O, S",0.0756,0.2108,0.051,0.9916
NSC_56263,26,"C, H, I, N, O",0.0756,0.1597,0.0576,0.9687
NSC_102335,52,"C, H, N, O",0.0756,0.2657,0.0517,0.9398
NSC_124417,39,"C, F, H, N, O, S",0.0757,0.272,0.0534,0.9783
NSC_187482,15,"C, H, N, O, S",0.0757,0.1507,0.0569,0.9907
NSC_30628,15,"C, F, H, I, O, S",0.0757,0.1677,0.0583,0.9899
NSC_221212,36,"C, H, I, N, O",0.0757,0.1478,0.0634,0.9592
NSC_270139,38,"C, H, I, N, O",0.0757,0.2846,0.0531,0.9535
NSC_17440,22,"C, H, I, N, O",0.0757,0.2084,0.0553,0.955
NSC_119843,32,"C, H, N, O",0.0758,0.2732,0.0515,0.9619
NSC_106389,26,"Br, C, H, N, O",0.0758,0.2587,0.0531,0.9071
NSC_137839,18,"C, Cl, H, O, S",0.0758,0.1751,0.0629,0.9916
NSC_102770,18,"C, F, H, O",0.0758,0.1802,0.0569,0.9515
NSC_119293,31,"C, H, O, P",0.0758,0.2339,0.0494,0.9882
NSC_105613,26,"C, H, N, O",0.0758,0.2718,0.0515,0.9196
NSC_60718,18,"C, H, I, N, O",0.0758,0.1647,0.054,0.9627
NSC_110346,26,"C, H, N, O",0.0759,0.2765,0.0536,0.9484
